tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
FIFA World Cup,2022-11-26,tunisia,australia,match_total,1.5,1.47,2.9,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,tunisia,australia,match_total,2.5,2.43,1.65,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,tunisia,australia,match_total,3.5,4.8,1.24,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,tunisia,australia,match_total,4.5,11.5,1.08,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,tunisia,australia,match_total,5.5,28.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,0.5,1.09,8.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,1.5,1.44,3.05,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,2.5,2.31,1.67,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,3.5,4.5,1.23,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,4.5,10.5,1.08,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,poland,saudi_arabia,match_total,5.5,26.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,0.5,1.09,9.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,1.5,1.4,3.25,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,2.5,2.18,1.75,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,3.5,4.15,1.27,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,4.5,9.2,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,france,denmark,match_total,5.5,23.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,0.5,1.08,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,1.5,1.4,3.2,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,2.5,2.3,1.7,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,3.5,4.5,1.26,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,4.5,10.5,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-26,argentina,mexico,match_total,5.5,23.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,0.5,1.08,11.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,1.5,1.36,3.55,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,2.5,2.08,1.86,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,3.5,3.85,1.33,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,4.5,8.3,1.11,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,japan,costa_rica,match_total,5.5,20.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,0.5,1.1,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,1.5,1.45,3.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,2.5,2.26,1.7,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,3.5,4.5,1.24,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,4.5,9.8,1.08,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,belgium,morocco,match_total,5.5,27.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,0.5,1.09,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,1.5,1.4,3.15,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,2.5,2.25,1.73,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,3.5,4.35,1.27,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,4.5,10.0,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,croatia,canada,match_total,5.5,22.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,0.5,1.06,12.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,1.5,1.27,4.15,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,2.5,1.85,2.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,3.5,3.1,1.42,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,4.5,6.25,1.16,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-27,spain,germany,match_total,5.5,14.0,1.06,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,0.5,1.07,10.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,1.5,1.34,3.55,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,2.5,2.13,1.85,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-28,cameroon,serbia,match_total,3.5,3.7,1.33,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
